finalserialno	serial	a01	a02	a03	m02_1	m02_2	m02_3	m02_4	m02_5	m02_6	b01	b02	b04	b05	b0601	b0602	b0603	b0604	b0605	b0606	b0607	b0608	b0609	b0610	b0611	b0612	b0613	b0614	b0615	b0616	b0617	b0618	b0619	b06a	b07	b09	b12_1	b12_2	b12_3	b12_4	b12_5	b12_6	b13_1	b13_2	b13_3	b13_4	b13_5	b13_6	c01	c02_1	c02_2	c02_3	c02_4	d01	d02	d03	d04	f01_1	f01_2	f01_3	f01_4	f01_5	f01_6	f01_7	f01_8	f01_9	f01_10	f01_11	f01_12	f2	e01	g01_1	g01_2	g01_3	g01_4	g01_5	g01_6	g01_7	g01_8	h01	i01_1	i01_2	i01_3	i01_4	i01_5	i01_6	i01_7	j05	j06	j01	j08	j10	j11	j12	k01	k02	k03	k11	k1201	k1202	k1203	k1204	k1205	k1206	k1207	k1208	k1209	k1210	k1211	k1212	k13	k14_1_01	k14_1_02	k14_1_03	k14_1_04	k14_1_05	k14_2_01	k14_2_02	k14_2_03	k14_2_04	k14_2_05	k14_3_01	k14_3_02	k14_3_03	k14_3_04	k14_3_05	k14_4_01	k14_4_02	k14_4_03	k14_4_04	k14_4_05	k14_5_01	k14_5_02	k14_5_03	k14_5_04	k14_5_05	k14_6_01	k14_6_02	k14_6_03	k14_6_04	k14_6_05	k14_7_01	k14_7_02	k14_7_03	k14_7_04	k14_7_05	k14_8_01	k14_8_02	k14_8_03	k14_8_04	k14_8_05	l01	l02	l03	l04	l09	m01	n04a	n03	p01	p02	p03_1	p03_2	p03_3	p03_4	p03_5	p03_6	p03_7	p03_8	p03a	p03b	p04_01	p04_02	p04_03	p04_04	p04_05	p04_06	p04_07	p04_08	p04_09	p04_10	q01_1	q01_2	q01_3	q01_4	q01_5	q02_1	q02_2	q03_1	q03_2	q03_3	r03	r04	r05	r05a	s01_1	s01_2	s01_3	s01_4	s01_5	s01_6	s01_7	q11	q12	t01_1	t01_2	t02	u01	u03	u05	v01	v04	v05	v06	w01	w02	w03	w08	w09	w11	w12	w13_1	w13_2	w15_1	w15_2	w15_3	r6	x01_1	x01_2	x01_3	x01_4	x01_5	x01_6	x2	x3	k06	k08	y01	y03	y04_01	y04_02	y04_03	y04_04	y04_05	y06	y07	y08	y09	y10_banded	Age	y11	y12a	education	y17	y17a	y18	y18a	y22	y23	y24	y25	y26	y45	y46a	y47	y48_1	y48_2	y48_3	y48_4	y48_5	y48_6	followup1	followup2	q1_cses	q2_cses_1	q2_cses_2	q2_cses_3	q2_cses_4	q2_cses_5	q2_cses_6	q2_cses_7	q2_cses_8	q3_cses_1	q3_cses_2	q3_cses_3	q3_cses_4	q3_cses_5	q4_cses_1	q4_cses_2	q4_cses_3	q4_cses_4	q4_cses_5	q5_cses	q6_cses	q7_cses	q8_cses	q9_cses_1	q9_cses_2	q9_cses_3	q9_cses_4	q9_cses_5	q9_cses_6	q9_cses_7	q10_cses_1	q10_cses_2	q10_cses_3	q10_cses_4	q10_cses_5	q10_cses_6	q10_cses_7	q11_cses_1	q11_cses_2	q11_cses_3	q11_cses_4	q11_cses_5	q11_cses_6	q11_cses_7	q12_cses_1	q12_cses_2	q12_cses_3	q12_cses_4	q12_cses_5	q13_cses	q14_cses	q15_cses	q16_cses	q17_cses	q18_cses	q19_cses	q20_cses	q21_cses	q22_1_cses	q22_2_cses	q22_3_cses	q24_cses	q25_cses	region	recontact	agency	Constit_Name	Constit_Code	pano	Interview_Date	total_num_dwel	total_num_hous	num_elig_people	nr_calls_1st	reissue	nr_calls_reissue	sel_wt_capped	wt_demog	wt_demog_cses	wt_vote	wt_vote_valid	edlevel	turnoutValidationReg	validatedTurnoutBinary	ns_sec	ns_sec_analytic	seg	sc	mii_coded	msoa11	imddecile
36324	000000385	brexit	2	1	4	5	5	3	4	4	1	1	 	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	3	3	3	3	3	4	2	2	3	4	3	4	1	2	4	5	2	1	 	 	3	2	5	5	4	3	4	3	5	5	5	5	4	3	5	7	8	8	8	8	9	 	 	9	 	 	6	7	5	4	5	2	2	7	3	1	1	3	9	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	2	10	2	1	0	3	2	0	9	5	5	0	1	 	 	5	1	0	1	0	0	1	0	0	0	0	0	3	3	-1	 	 	3	1	3	3	3	5	4	1	2	7	8	4	0	6	 	 	3	1	1	1	1	7	3	3	1	3	 	 	4	1	1	2	2	1	1	1	4	4	4	3	1	1	1	2	-1	1	1	5	2	2	1	3	4	0	0	1	0	0	2	1	3	2	7	75	1	1	6	11	 	1	2	 	 	2	3	6	1	2	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	3	West Lanca	E14001033	349	17/07/2017	1	1	1	3	0	0	.560981846	.351571169628174	 	.357662492806499	 	4	 	 	10	11	11	20	15	E02005314	4
36417	000000387	brexit how to get out with good deal	1	2	3	2	2	2	4	4	1	1	 	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	3	4	1	1	3	4	2	1	2	2	1	2	1	2	5	5	1	1	 	 	2	2	2	1	1	1	3	4	4	5	5	1	3	1	3	9	3	10	7	1	7	 	 	3	 	 	8	3	5	5	0	2	2	7	1	1	2	3	8	1	4	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	3	2	3	2	1	8	3	2	0	8	3	2	10	3	 	 	0	1	0	1	1	0	0	0	1	0	0	0	1	2	1	 	 	2	1	2	3	3	2	5	1	1	0	10	5	0	5	 	 	1	3	4	5	9	2	3	2	1	3	 	 	2	 	2	-1	1	2	1	2	7	1	1	1	3	1	1	2	1	1	2	5	2	2	1	13	2	0	1	1	0	0	0	 	1	1	4	54	1	1	1	1	 	 	 	1	2	 	 	1	1	1	1	1	0	0	0	0	0	1	1	3	1	5	2	3	2	5	2	2	2	5	1	5	5	2	3	4	2	2	2	4	1	-1	8	2	5	9	 	 	4	9	2	3	8	6	 	 	10	2	3	10	3	 	 	5	5	5	1	5	2	5	5	1	 	2	2	1	2	1	0	0	1	54	North West	2	3	West Lanca	E14001033	349	15/08/2017	1	1	2	10	0	0	1.121963692	.817802340720859	.930625344449988	.782109092704748	.772277571805879	5	1	1	31	12	40	10	15	E02005309	6
36419	000000391	the nhs and poverty	1	2	3	4	4	3	4	3	1	1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	-1	4	1	1	4	4	2	2	2	2	2	2	2	2	4	4	2	1	 	 	2	1	5	5	4	2	-1	4	4	4	3	3	5	3	5	8	5	8	0	1	0	 	 	5	 	 	9	2	1	-2	2	1	1	4	1	1	2	2	8	2	 	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	2	2	2	3	1	2	2	1	-1	-1	5	-1	-1	-1	 	 	-1	-1	1	1	0	0	0	0	0	0	0	0	1	2	-1	 	 	2	1	2	1	-1	3	3	2	2	0	10	0	0	0	 	 	2	2	3	3	1	2	3	2	2	2	 	 	2	 	2	-1	1	2	1	1	7	4	4	4	1	1	1	2	-1	-1	-1	5	2	2	2	-2	1	0	0	0	1	0	1	8	3	2	6	73	1	1	13	11	 	1	1	2	2	 	 	1	1	2	2	1	0	0	0	0	0	2	2	2	-1	-1	1	-1	2	-1	1	1	1	1	3	1	1	2	2	2	1	1	-1	4	1	1	-1	-1	-1	-1	 	 	-1	0	0	0	0	0	 	 	0	10	-1	-1	-1	 	 	-1	-1	-1	-1	-1	1	5	5	1	 	5	2	1	2	1	0	0	2	73	North West	2	3	West Lanca	E14001033	349	10/08/2017	1	1	2	4	0	0	1.121963692	.863223050779722	.916223489912026	.795400102405283	 	3	 	 	134	70	110	50	1	E02005309	6
36424	000000396	brexit	2	1	2	2	2	2	4	2	1	2	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	2	3	3	3	2	2	2	1	3	3	3	1	2	5	4	5	2	2	 	 	2	2	2	-1	4	2	5	2	2	4	5	2	4	3	8	5	5	7	6	5	9	 	 	5	 	 	1	9	3	1	2	-1	 	-1	3	3	2	-1	8	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	3	2	4	3	5	1	1	7	2	1	10	10	5	2	10	1	 	 	7	1	0	0	0	0	0	0	0	0	1	0	2	1	2	 	 	1	2	1	2	1	3	3	-1	3	10	3	3	7	0	 	 	1	2	5	2	4	0	2	3	2	4	 	 	4	1	1	2	2	2	-1	3	2	3	4	2	5	1	1	2	1	1	2	5	3	2	2	4	1	0	0	0	1	0	3	1	3	2	6	74	1	1	2	11	 	1	1	1	3	 	 	4	1	1	2	1	0	0	0	0	0	1	1	2	1	5	5	2	5	4	4	5	2	4	3	4	4	2	2	2	1	2	4	2	1	2	8	1	3	9	 	 	2	6	2	2	6	2	 	 	9	2	4	5	2	 	 	5	4	5	1	5	4	5	5	1	 	1	1	1	2	1	0	0	2	74	North West	2	3	West Lanca	E14001033	349	15/07/2017	1	1	1	2	0	0	.560981846	.298281276226257	.252317323497036	.322789939318212	.306928414146453	4	1	1	41	20	51	20	15	E02005309	6
36715	000003720	-1	 	4	4	4	4	4	4	4	2	 	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	3	3	3	2	2	2	2	3	2	2	2	3	3	2	2	3	0	2	 	 	3	2	3	2	1	4	4	4	4	4	4	4	3	4	6	1	2	3	4	5	 	 	5	 	 	7	7	5	6	4	2	2	5	5	4	4	4	4	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	4	-1	-1	-1	2	2	3	3	5	3	4	5	6	7	 	 	5	2	0	0	0	0	0	0	0	0	1	0	3	3	3	 	 	-1	-1	-1	-1	-1	3	4	3	3	3	3	4	5	5	 	 	3	3	3	3	2	0	3	-1	2	6	 	 	4	2	-1	-1	11	2	-1	4	5	1	1	1	1	2	2	1	1	2	1	4	-1	2	1	13	4	0	0	0	1	0	0	 	3	1	2	26	-2	2	0	1	 	 	 	2	1	 	 	3	1	1	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	21/09/2017	1	1	2	9	1	2	1.121963692	1.30274590825326	 	1.63862699447731	1.52460777607923	0	3	0	134	70	100	40	46	E02001292	4
36716	000002526	leaving the european union	1	4	4	5	4	3	2	3	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	-1	2	-1	2	2	1	1	1	-1	1	1	3	2	2	4	3	1	 	 	2	-1	2	-1	3	2	-1	5	2	4	4	5	4	1	2	5	-1	7	-1	-1	-1	 	 	2	 	 	9	7	-1	-1	1	2	2	4	3	3	3	-1	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	-1	-1	0	1	1	6	1	2	1	5	0	-1	9	-1	 	 	6	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	 	 	-1	1	-1	1	-1	3	3	-1	3	2	8	2	0	2	 	 	2	-1	3	3	0	0	3	1	2	3	 	 	2	 	2	11	11	-1	-1	2	6	2	2	4	-1	1	-1	2	-1	1	1	-1	2	2	1	-2	4	0	0	0	1	0	14	8	3	1	4	47	-2	1	15	2	 	 	 	 	 	1	 	6	1	2	3	1	0	0	0	0	0	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	14/08/2017	1	1	1	8	0	0	.560981846	.569535496792463	 	.831905780803896	 	1	 	 	91	40	120	32	15	E02001292	4
36720	000002528	mmanagement and lack of fund	0	1	3	2	4	4	4	4	1	2	 	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	 	3	3	3	2	3	3	4	1	1	4	2	1	3	1	4	5	3	2	 	 	3	2	4	4	1	3	3	2	1	3	4	1	2	2	6	5	7	6	-1	-1	-1	 	 	5	 	 	3	5	3	6	4	-1	 	7	1	1	3	-1	8	1	21	1	1	0	0	0	0	0	0	0	0	0	0	0	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	1	2	8	2	1	4	3	2	1	3	7	6	5	3	 	 	1	1	0	1	0	0	1	0	0	0	0	0	2	3	3	 	 	2	2	2	2	1	3	5	1	3	6	2	5	2	5	 	 	2	1	2	2	0	-1	3	3	2	6	 	 	1	 	1	2	2	1	1	2	5	5	3	2	2	-1	1	2	2	1	2	5	3	1	1	15	4	0	0	0	1	0	0	 	3	1	2	29	9	1	2	1	 	 	 	1	3	 	 	1	1	1	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	27/07/2017	1	1	2	4	0	0	1.121963692	.938614075013256	 	.915500328197583	1.10563685810243	4	2	0	71	30	60	31	26	E02001292	4
36722	000002172	to many people from other countries comin here	-1	3	4	4	4	5	4	4	2	 	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	-1	4	2	2	4	4	-1	2	2	2	1	-1	3	2	2	4	3	0	2	 	 	2	4	5	4	4	4	2	4	4	4	2	2	3	5	5	7	9	-1	-1	-1	 	 	10	 	 	0	-1	-1	-1	0	1	1	-1	3	1	2	-1	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	3	3	2	3	2	1	1	1	8	6	-1	-1	9	-1	 	 	10	2	0	0	0	0	0	0	0	0	1	0	3	3	3	 	 	3	3	3	3	2	3	2	1	1	4	4	0	0	0	 	 	3	3	5	2	8	0	3	3	1	2	 	 	1	 	1	-1	-1	-1	1	1	5	4	1	-1	2	1	1	2	1	1	-1	2	-1	2	2	1	1	0	0	0	1	0	1	1	3	1	6	69	1	1	6	11	 	1	1	2	1	 	 	3	1	1	2	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	14/07/2017	1	1	1	2	0	0	.560981846	.328781117655791	 	.52837467014266	 	4	 	 	123	60	100	40	12	E02001292	4
36724	000003719	-1	 	4	3	3	2	3	3	4	2	 	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	1	2	3	3	3	3	2	3	3	3	2	2	3	2	2	2	2	-1	2	 	 	4	4	3	2	2	2	2	3	3	3	3	3	1	7	4	4	3	3	4	3	 	 	6	 	 	5	6	4	6	6	2	2	3	3	3	3	3	3	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	3	2	4	1	1	1	3	3	2	3	3	6	4	3	 	 	7	2	0	1	0	0	0	0	0	0	0	0	-1	2	3	 	 	-1	2	-1	-1	-1	2	3	2	3	4	4	6	5	5	 	 	2	2	4	4	4	0	3	-1	-1	4	 	 	2	 	1	-1	-1	2	2	3	2	4	5	5	3	1	1	1	1	1	1	4	1	2	2	9	4	0	0	0	1	0	0	 	3	1	4	48	1	1	2	1	 	 	 	2	1	 	 	6	1	1	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	21/09/2017	1	1	1	9	1	2	.560981846	.40890117036043	 	.669933678592746	.553268546798033	4	3	0	32	12	51	20	46	E02001292	4
36725	000002529	imigration,the numbers coming in	0	2	2	2	2	3	4	3	1	2	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	2	3	2	1	2	3	2	1	3	3	2	2	1	2	4	4	3	1	 	 	3	2	4	4	3	2	3	4	4	4	3	3	4	3	5	6	5	8	6	6	6	 	 	9	 	 	1	7	6	4	4	1	1	1	2	2	3	3	6	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	3	3	5	3	1	5	3	2	0	9	-1	3	10	-1	 	 	9	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	 	 	-1	2	2	2	-1	3	2	2	3	6	2	2	1	3	 	 	1	3	4	2	5	3	3	3	2	3	 	 	1	 	2	1	1	1	1	1	7	3	4	2	4	1	2	2	-1	1	2	5	3	2	2	8	1	0	0	0	1	0	3	1	3	2	6	67	1	1	15	11	 	1	1	2	2	 	 	1	1	1	2	1	0	0	0	0	0	1	2	1	1	2	2	2	3	4	4	3	1	1	4	1	2	2	3	2	2	1	3	3	2	 	7	1	-1	-1	 	 	-1	-1	-1	-1	-1	-1	 	 	5	1	3	4	4	 	 	5	4	4	-1	5	2	4	4	2	2	 	 	1	1	1	0	0	2	67	North West	2	2	Wigan	E14001039	618	17/07/2017	1	1	3	4	0	0	1.682945538	1.29483457616958	1.38777884451279	1.36658109651846	 	1	 	 	122	60	70	32	12	E02001292	4
36726	000002530	exit of the european union	3	2	4	4	2	2	4	4	2	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	3	3	2	1	3	4	2	1	2	2	1	2	2	3	4	4	4	3	 	 	2	3	4	4	-1	1	2	3	4	4	5	1	4	1	5	7	4	7	5	-1	-1	 	 	2	 	 	8	7	6	-1	-1	1	3	7	-1	-1	-1	-1	6	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	3	3	0	3	1	4	1	2	3	10	0	6	-1	-1	 	 	2	1	0	0	0	0	0	1	0	0	0	0	3	2	2	 	 	2	1	1	-1	-1	3	3	3	1	0	4	8	0	0	 	 	2	2	2	5	7	0	3	11	-1	6	 	 	2	 	1	11	11	1	1	2	6	2	1	3	-1	2	-1	1	-1	-1	-1	-1	4	2	1	6	4	0	0	0	1	0	1	6	3	1	3	41	-2	1	4	5	1	1	1	2	2	 	 	1	3	2	1	1	0	0	0	0	0	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	18/08/2017	1	1	2	10	0	0	1.121963692	.800191669723031	 	1.25302087810703	 	4	 	 	71	30	60	31	15	E02001292	4
36815	000003654	education fees	1	2	4	3	3	4	5	4	1	1	 	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	2	2	3	3	2	2	2	2	2	2	2	3	3	1	2	2	2	1	 	 	2	3	2	2	1	2	3	2	1	2	2	3	4	2	3	4	4	3	3	3	4	 	 	3	 	 	4	3	3	4	3	1	2	3	3	3	2	2	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	3	4	2	2	1	3	1	2	2	5	4	4	3	5	 	 	5	2	0	0	0	0	0	0	0	0	1	0	1	3	2	 	 	3	3	3	3	3	1	3	2	2	2	4	2	2	3	 	 	2	2	1	1	3	2	3	2	2	3	 	 	2	 	2	1	1	2	2	2	2	5	4	4	3	1	1	1	1	2	1	3	2	2	2	9	1	0	0	0	1	0	1	6	3	1	5	59	1	2	0	11	 	1	1	2	3	 	 	1	1	1	3	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	17/09/2017	1	1	2	1	1	2	1.121963692	.943141204612747	 	.848906329194979	.819656403641454	0	1	1	122	60	100	40	2	E02001292	9
36816	000003718	immigrants	-2	3	4	3	3	2	1	4	1	-2	 	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	2	 	1	2	2	2	1	2	2	3	3	2	2	2	4	2	2	4	2	-2	2	 	 	1	1	2	3	2	1	3	2	1	2	2	1	3	4	4	8	6	7	8	7	 	 	8	 	 	6	3	4	5	5	-1	 	4	4	3	2	2	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	1	3	2	2	3	3	6	9	8	2	4	3	 	 	8	2	0	1	0	0	0	0	0	0	0	0	3	3	3	 	 	3	1	2	2	2	5	3	3	3	4	5	4	4	3	 	 	3	2	4	4	3	2	3	-2	2	5	 	 	2	 	2	-1	-1	2	2	3	2	2	2	1	2	2	2	2	2	1	1	3	-1	2	1	14	1	0	1	0	0	0	0	 	3	1	3	42	1	2	0	1	 	 	 	2	1	 	 	1	1	1	3	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	21/09/2017	1	1	2	9	1	2	1.121963692	1.131328786474	 	 	1.65728855084498	0	3	0	122	60	100	40	12	E02001292	9
36817	000002175	not enough money to fund public services	1	2	3	5	3	4	5	4	1	1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	-1	-1	2	2	3	4	2	-1	2	2	1	1	1	1	5	5	1	1	 	 	2	1	3	5	1	1	1	4	3	3	1	5	5	1	3	7	2	9	-1	-1	-1	 	 	5	 	 	5	5	-1	-1	0	1	1	2	1	1	1	2	2	2	 	1	1	1	1	0	0	0	0	0	0	0	0	0	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	2	1	1	4	3	1	2	3	2	1	10	1	7	10	5	 	 	10	1	0	0	0	0	0	0	0	0	1	0	3	2	-1	 	 	3	1	2	1	-1	3	2	2	1	3	10	0	0	0	 	 	2	1	4	2	2	0	3	2	1	10	 	 	2	 	2	1	1	2	1	1	5	4	2	3	4	1	2	2	-1	1	-1	4	2	2	1	6	2	0	0	0	1	0	3	8	3	2	2	32	1	1	2	1	 	 	 	2	2	 	 	3	1	1	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	15/07/2017	1	1	1	3	0	0	.560981846	.425771112062449	 	.365160645527181	.436708441209354	4	1	1	122	60	100	40	34	E02001292	9
36818	000003717	nhs	-1	1	2	3	2	4	3	2	1	-1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	2	 	4	3	3	2	2	4	1	2	2	2	2	1	3	2	2	1	1	1	 	 	2	2	2	1	3	2	2	3	3	3	2	2	3	3	4	3	5	2	4	5	4	 	 	5	 	 	7	5	6	5	7	-1	 	5	4	3	2	2	4	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	3	3	4	2	1	7	3	3	4	5	5	5	5	5	 	 	5	2	0	0	0	0	0	0	0	0	1	0	2	3	3	 	 	3	3	3	3	3	2	2	2	3	2	4	2	2	3	 	 	3	2	3	3	4	0	3	-1	1	3	 	 	2	 	2	1	2	2	2	3	3	3	4	4	3	1	1	1	1	2	2	5	2	2	2	13	2	0	0	0	1	0	0	 	3	1	3	44	1	2	0	1	 	 	 	2	1	 	 	1	1	1	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	North West	2	2	Wigan	E14001039	618	21/09/2017	1	1	2	3	1	2	1.121963692	1.131328786474	 	 	 	0	1	1	41	20	51	20	1	E02001292	9
